Temporada;Rep;Subparcela;Tratamiento;Altura;Cosecha;Produccion_arbol
2021;13;Subparcela 1;Sin Fertirriego;1761.070;Mitaca;96.8
2021;14;Subparcela 1;Sin Fertirriego;1768.120;Mitaca;53.4
2021;15;Subparcela 1;Sin Fertirriego;1766.410;Mitaca;83.7
2021;16;Subparcela 1;Sin Fertirriego;1771.070;Mitaca;114.6
2021;17;Subparcela 1;Sin Fertirriego;1769.620;Mitaca;53.1
2021;18;Subparcela 1;Sin Fertirriego;1772.890;Mitaca;79.2
2021;19;Subparcela 1;Sin Fertirriego;1772.130;Mitaca;79.2
2021;1;Subparcela 1;Sin Fertirriego;1744.360;Principal;64.6
2021;2;Subparcela 1;Sin Fertirriego;1749.870;Principal;63.9
2021;3;Subparcela 1;Sin Fertirriego;1748.050;Principal;41.86
2021;4;Subparcela 1;Sin Fertirriego;1751.940;Principal;47
2021;5;Subparcela 1;Sin Fertirriego;1748.420;Principal;46.18
2021;6;Subparcela 1;Sin Fertirriego;1752.400;Principal;31.02
2021;7;Subparcela 1;Sin Fertirriego;1765.090;Principal;52.54
2021;8;Subparcela 1;Sin Fertirriego;1766.700;Principal;40.66
2021;9;Subparcela 1;Sin Fertirriego;1770.160;Principal;62.08
2021;10;Subparcela 1;Sin Fertirriego;1768.330;Principal;75.94
2021;11;Subparcela 1;Sin Fertirriego;1763.920;Principal;53.88
2021;12;Subparcela 1;Sin Fertirriego;1763.880;Principal;71.52
2021;13;Subparcela 1;Sin Fertirriego;1761.070;Principal;64.22
2021;14;Subparcela 1;Sin Fertirriego;1768.120;Principal;76.76
2021;15;Subparcela 1;Sin Fertirriego;1766.410;Principal;77.5
2021;16;Subparcela 1;Sin Fertirriego;1771.070;Principal;76.8
2021;17;Subparcela 1;Sin Fertirriego;1769.620;Principal;67.14
2021;18;Subparcela 1;Sin Fertirriego;1772.890;Principal;68.54
2021;19;Subparcela 1;Sin Fertirriego;1772.130;Principal;70.3
